class	identity	length	posX	posY	dirX	dirY	endToEnd	cosinus	organizer	cluster
1	1	0.25	-2.27	-0.977	-0.975	0.223	0.25	1.0	0	0
1	2	0.25	0.938	1.232	-0.853	-0.521	0.25	1.0	0	1
1	3	0.25	0.772	1.149	0.975	0.222	0.25	1.0	0	1
1	4	0.25	-1.351	-1.521	-0.231	-0.973	0.25	1.0	0	3
1	5	0.25	-2.429	1.042	-0.156	-0.988	0.25	1.0	0	4
1	6	0.25	2.32	-2.11	0.129	-0.992	0.25	1.0	0	5
1	7	0.25	-2.094	-1.361	0.945	0.327	0.25	1.0	0	0
1	8	0.25	-2.108	-1.42	0.731	0.682	0.25	1.0	0	0
1	9	0.25	2.379	2.062	-0.993	0.116	0.25	1.0	0	7
1	10	0.25	-1.157	-1.829	0.884	0.468	0.25	1.0	0	3
1	11	0.25	1.11	2.399	0.697	0.717	0.25	1.0	0	8
1	12	0.25	-1.583	2.26	-0.675	-0.738	0.25	1.0	0	9
1	13	0.25	0.012	1.597	-0.031	-1.0	0.25	1.0	0	10
1	14	0.25	0.2	-1.996	0.889	0.457	0.25	1.0	0	11
1	15	0.25	0.748	1.202	0.917	-0.398	0.25	1.0	0	1
1	16	0.25	-1.791	-0.774	0.969	0.246	0.25	1.0	0	6
1	17	0.25	1.009	1.335	-0.461	-0.887	0.25	1.0	0	1
1	18	0.25	-2.353	-1.547	0.734	0.68	0.25	1.0	0	0
1	19	0.25	1.798	-0.695	-0.946	-0.325	0.25	1.0	0	14
1	20	0.25	1.07	-2.515	0.995	0.103	0.25	1.0	0	15
1	21	0.25	0.952	1.209	-0.964	-0.267	0.25	1.0	0	1
1	22	0.25	-1.428	-1.807	-0.524	0.852	0.25	1.0	0	16
1	23	0.25	-0.636	-1.527	0.902	-0.431	0.25	1.0	0	17
1	24	0.25	0.82	1.148	0.77	0.638	0.25	1.0	0	1
1	25	0.25	1.28	-1.899	1.0	0.012	0.25	1.0	0	18
1	26	0.25	1.641	1.129	-0.978	0.207	0.25	1.0	0	19
1	27	0.25	0.797	1.107	0.658	0.753	0.25	1.0	0	1
1	28	0.25	0.791	1.226	0.658	-0.753	0.25	1.0	0	1
1	29	0.25	0.233	-1.08	-0.524	-0.852	0.25	1.0	0	20
1	30	0.25	-1.945	-1.021	0.988	-0.151	0.25	1.0	0	0
1	31	0.25	-1.539	0.139	0.083	-0.997	0.25	1.0	0	21
1	32	0.25	0.809	1.153	0.808	0.59	0.25	1.0	0	1
1	33	0.25	0.912	1.299	-0.115	-0.993	0.25	1.0	0	1
1	34	0.25	0.513	0.902	0.201	0.98	0.25	1.0	0	1
1	35	0.25	0.932	1.228	-0.81	-0.587	0.25	1.0	0	1
1	36	0.25	-1.058	2.365	-0.792	-0.611	0.25	1.0	0	22
1	37	0.25	0.429	2.434	-0.315	-0.949	0.25	1.0	0	8
1	38	0.25	0.19	-0.027	0.888	-0.459	0.25	1.0	0	23
1	39	0.25	-2.654	-0.079	-0.833	0.554	0.25	1.0	0	24
1	40	0.25	-2.067	0.551	0.934	-0.357	0.25	1.0	0	25
1	41	0.25	-0.059	-1.856	-0.243	-0.97	0.25	1.0	0	11
1	42	0.25	0.924	1.304	-0.52	-0.854	0.25	1.0	0	1
1	43	0.25	0.987	1.291	-0.426	-0.905	0.25	1.0	0	1
1	44	0.25	2.079	0.522	-0.988	0.153	0.25	1.0	0	26
1	45	0.25	-0.245	1.201	-0.34	-0.94	0.25	1.0	0	10
1	46	0.25	1.015	1.22	-1.0	-0.016	0.25	1.0	0	1
1	47	0.25	0.806	1.048	-0.284	0.959	0.25	1.0	0	1
1	48	0.25	-1.165	2.232	0.042	-0.999	0.25	1.0	0	9
1	49	0.25	0.925	1.309	-0.325	-0.946	0.25	1.0	0	1
1	50	0.25	0.958	1.257	-0.748	-0.663	0.25	1.0	0	1
1	51	0.25	1.538	-2.398	-0.904	-0.428	0.25	1.0	0	18
1	52	0.25	2.296	-1.975	-0.374	0.928	0.25	1.0	0	5
1	53	0.25	-2.195	2.182	0.18	-0.984	0.25	1.0	0	28
1	54	0.25	-0.712	1.507	-0.367	0.93	0.25	1.0	0	29
1	55	0.25	0.729	1.207	0.67	-0.742	0.25	1.0	0	1
1	56	0.25	-2.136	1.356	0.204	-0.979	0.25	1.0	0	4
1	57	0.25	0.71	1.039	0.557	0.831	0.25	1.0	0	1
1	58	0.25	-1.022	0.393	-0.951	-0.309	0.25	1.0	0	30
1	59	0.25	-2.131	-1.32	0.22	-0.975	0.25	1.0	0	0
1	60	0.25	0.45	0.097	0.99	-0.138	0.25	1.0	0	31
1	61	0.25	-1.161	2.549	-0.96	0.281	0.25	1.0	0	22
1	62	0.25	0.949	1.319	-0.424	-0.906	0.25	1.0	0	1
1	63	0.25	2.417	0.519	-0.683	0.731	0.25	1.0	0	26
1	64	0.25	1.565	0.316	-0.011	1.0	0.25	1.0	0	32
1	65	0.25	0.769	0.676	-0.912	-0.41	0.25	1.0	0	1
1	66	0.25	-2.478	2.406	0.01	-1.0	0.25	1.0	0	28
1	67	0.25	0.218	1.593	0.419	-0.908	0.25	1.0	0	10
1	68	0.25	1.223	2.314	0.304	-0.953	0.25	1.0	0	8
1	69	0.25	0.837	1.097	0.371	0.929	0.25	1.0	0	1
1	70	0.25	0.944	1.266	-0.681	-0.733	0.25	1.0	0	1
1	71	0.25	-0.308	0.264	0.095	0.995	0.25	1.0	0	33
1	72	0.25	-0.983	1.541	0.348	-0.938	0.25	1.0	0	22
1	73	0.25	-2.136	-2.226	0.983	0.183	0.25	1.0	0	34
1	74	0.25	-1.768	-1.054	-0.915	0.404	0.25	1.0	0	6
1	75	0.25	-0.327	1.096	-0.452	0.892	0.25	1.0	0	10
1	76	0.25	-1.745	0.843	-0.965	-0.261	0.25	1.0	0	35
1	77	0.25	0.695	0.72	-0.523	0.852	0.25	1.0	0	1
1	78	0.25	-0.16	0.305	0.948	0.317	0.25	1.0	0	33
1	79	0.25	-0.092	-2.071	-0.45	0.893	0.25	1.0	0	36
1	80	0.25	-0.339	-2.176	-0.976	0.216	0.25	1.0	0	36
1	81	0.25	-0.565	0.239	-0.936	-0.353	0.25	1.0	0	30
1	82	0.25	1.957	0.208	0.415	0.91	0.25	1.0	0	32
1	83	0.25	0.793	1.117	0.786	0.618	0.25	1.0	0	1
1	84	0.25	1.0	1.218	-1.0	-0.017	0.25	1.0	0	1
1	85	0.25	0.859	1.268	-0.819	-0.574	0.25	1.0	0	1
1	86	0.25	1.372	1.051	0.873	-0.488	0.25	1.0	0	1
1	87	0.25	-1.328	-1.717	0.328	0.945	0.25	1.0	0	3
1	88	0.25	1.41	0.923	-0.94	-0.341	0.25	1.0	0	1
1	89	0.25	0.972	1.231	-0.953	-0.302	0.25	1.0	0	1
1	90	0.25	2.136	2.205	0.032	-0.999	0.25	1.0	0	7
1	91	0.25	0.989	-2.234	-0.95	-0.312	0.25	1.0	0	15
1	92	0.25	1.708	-0.84	0.275	0.961	0.25	1.0	0	14
1	93	0.25	0.831	1.161	0.82	0.573	0.25	1.0	0	1
1	94	0.25	0.745	1.135	0.98	0.197	0.25	1.0	0	1
1	95	0.25	-2.006	2.305	0.656	-0.755	0.25	1.0	0	9
1	96	0.25	0.505	1.453	0.206	0.979	0.25	1.0	0	1
1	97	0.25	2.01	-1.685	-0.975	0.221	0.25	1.0	0	5
1	98	0.25	-0.304	-0.748	0.906	-0.423	0.25	1.0	0	37
1	99	0.25	0.759	1.2	0.623	-0.782	0.25	1.0	0	1
1	100	0.25	-2.195	-1.387	-0.278	0.961	0.25	1.0	0	0
1	101	0.25	2.246	1.662	0.536	-0.844	0.25	1.0	0	38
1	102	0.25	-2.403	-1.643	-0.411	-0.912	0.25	1.0	0	0
1	103	0.25	2.226	-1.862	-0.745	0.667	0.25	1.0	0	5
1	104	0.25	1.011	1.366	-0.88	-0.474	0.25	1.0	0	1
1	105	0.25	0.013	1.251	0.996	-0.094	0.25	1.0	0	10
1	106	0.25	1.767	-0.105	-0.994	-0.107	0.25	1.0	0	32
