
% frame   10000
% time 999.901
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
         1     1.367    -0.568     0.000     0.000    -0.016
         1     1.400    -0.663     0.005     0.019    -0.016
         1     1.433    -0.757     0.042     0.035    -0.014
         1     1.466    -0.851    -0.001     0.034     0.002
         1     1.499    -0.946     0.024    -0.012    -0.033
         1     1.532    -1.040     0.014     0.028    -0.028
         1     1.565    -1.135    -0.020     0.050     0.009
         1     1.598    -1.229     0.030     0.044     0.025
         1     1.631    -1.323     0.003     0.002     0.009
         1     1.665    -1.418    -0.015     0.027     0.023
         1     1.698    -1.512    -0.033    -0.019     0.000
%   fiber f1:0002
         2     1.536    -1.262    -0.001     0.045    -0.039
         2     1.515    -1.165    -0.059     0.014    -0.060
         2     1.494    -1.067     0.039    -0.036    -0.012
         2     1.474    -0.969     0.007    -0.000    -0.005
         2     1.453    -0.871    -0.020     0.031    -0.035
         2     1.432    -0.773    -0.009    -0.001    -0.031
         2     1.412    -0.675     0.029    -0.010    -0.010
         2     1.391    -0.578     0.050     0.013    -0.008
         2     1.370    -0.480    -0.000    -0.009     0.006
         2     1.349    -0.382    -0.017     0.028    -0.020
         2     1.329    -0.284     0.046    -0.005     0.000
%   fiber f1:0003
         3     1.367    -0.474     0.040    -0.024    -0.002
         3     1.348    -0.375     0.028    -0.056     0.027
         3     1.330    -0.277    -0.006    -0.014     0.007
         3     1.311    -0.179    -0.016    -0.033     0.005
         3     1.292    -0.081    -0.001    -0.024    -0.005
         3     1.274     0.018     0.003    -0.003    -0.034
         3     1.255     0.116     0.044    -0.006    -0.052
         3     1.236     0.214    -0.028    -0.082    -0.009
         3     1.218     0.312    -0.054    -0.071     0.018
         3     1.199     0.411     0.012     0.009    -0.021
         3     1.180     0.509     0.026    -0.050     0.000
%   fiber f1:0004
         4     1.582    -1.605     0.010    -0.006    -0.022
         4     1.639    -1.688    -0.014    -0.010    -0.034
         4     1.695    -1.770     0.036     0.005    -0.062
         4     1.752    -1.853    -0.022     0.029    -0.037
         4     1.809    -1.935    -0.019    -0.004    -0.041
         4     1.865    -2.018    -0.038     0.040     0.002
         4     1.922    -2.100     0.008     0.026     0.007
         4     1.978    -2.182    -0.048    -0.014     0.011
         4     2.035    -2.265     0.056     0.026    -0.011
         4     2.092    -2.347     0.007     0.040     0.006
         4     2.148    -2.430    -0.009    -0.000     0.000
%   fiber f1:0005
         5     0.883     1.163    -0.013     0.048     0.043
         5     0.916     1.068     0.058     0.042     0.056
         5     0.949     0.974    -0.023     0.028     0.083
         5     0.982     0.880     0.017     0.013     0.082
         5     1.015     0.786    -0.015    -0.022     0.059
         5     1.049     0.691    -0.024     0.018     0.078
